property_type,listing_agency,price,location_number,city,zip_code,product_depth,bedroom_count,bathroom_count,parking_count
Unit,Nick Mousellis Real Estate - Eview Group Member,580000,138568447,Darwin City,800,premiere,2,2,2
Apartment,Professionals - DARWIN CITY,470000,138491115,Darwin City,800,feature,3,2,1
Apartment,First National Real Estate O'Donoghues - Darwin,539000,138490143,Darwin City,800,feature,2,2,1
Unit,LJ Hooker Darwin -   ,519000,138483943,Darwin City,800,premiere,2,2,2
Unit,LJ Hooker Darwin -   ,219000,138466843,Darwin City,800,premiere,1,1,1
Apartment,Ausway Group,235000,138450183,Darwin City,800,feature,1,1,1
Apartment,Real Estate NT by George Pikos - FANNIE BAY,315000,138408243,Darwin City,800,feature,1,1,1
Unit,Alliance Realty - Larrakeyah,450000,138405187,Darwin City,800,feature,3,2,2
Apartment,Cate Killiner Real Estate - Woolner,380000,138380847,Darwin City,800,standard,2,2,0
Apartment,Real Estate NT by George Pikos - FANNIE BAY,275000,138372799,Darwin City,800,feature,2,1,1
Unit,Territory Real Estate - Darwin,270000,138356819,Darwin City,800,feature,1,1,1
House,Elders Real Estate - Darwin,550000,138265490,Darwin City,800,feature,3,2,1
Unit,Habitat Real Estate - THE GARDENS,380000,138172746,Darwin City,800,feature,1,1,1
Apartment,First National Real Estate O'Donoghues - Darwin,868000,138131738,Darwin City,800,standard,3,2,2
Apartment,Real Estate Central - DARWIN CITY,539000,138089306,Darwin City,800,feature,2,2,1
Apartment,Real Estate Central - DARWIN CITY,165000,138088682,Darwin City,800,feature,1,1,1
Studio,Raine & Horne - Darwin,130000,138082094,Darwin City,800,premiere,1,1,1
Apartment,For Sale By Owner,589000,138055490,Darwin City,800,standard,3,2,2
Apartment,Professionals - DARWIN CITY,360000,137987178,Darwin City,800,standard,2,2,2
Apartment,Professionals - DARWIN CITY,430000,137986214,Darwin City,800,standard,3,2,2
Apartment,First National Real Estate O'Donoghues - Darwin,839000,137979626,Darwin City,800,standard,3,2,2
Unit,Property Shop - Darwin,147000,137961414,Darwin City,800,feature,1,1,0
Unit,Complete Real Estate (NT),270000,137955858,Darwin City,800,feature,2,1,1
Unit,Elders Real Estate - Darwin,795000,137954042,Darwin City,800,feature,3,2,2
Unit,Real Estate Central - DARWIN CITY,430000,137875178,Darwin City,800,feature,2,2,1
Unit,Core Realty NT - RAPID CREEK,555000,137649782,Darwin City,800,feature,2,2,2
Apartment,Pacific Property Darwin,529000,137629830,Darwin City,800,feature,2,2,1
Apartment,Knight Frank (NT) - Darwin,460000,137607210,Darwin City,800,feature,1,1,1
Unit,Real Estate Central - DARWIN CITY,195000,137601074,Darwin City,800,feature,1,1,1
Apartment,First National Real Estate O'Donoghues - Darwin,479000,137577878,Darwin City,800,feature,3,2,2
Unit,Real Estate Central - DARWIN CITY,295000,137573846,Darwin City,800,feature,2,1,1
Apartment,Knight Frank (NT) - Darwin,370000,137422038,Darwin City,800,feature,1,1,1
Unit,Habitat Real Estate - THE GARDENS,475000,137421174,Darwin City,800,feature,2,2,1
Unit,Habitat Real Estate - THE GARDENS,520000,137351610,Darwin City,800,feature,3,2,2
Apartment,Real Estate Central - DARWIN CITY,449000,137345410,Darwin City,800,feature,2,2,0
Apartment,LJ Hooker Darwin -   ,525000,137309842,Darwin City,800,feature,2,2,2
Apartment,Real Estate Central - DARWIN CITY,500000,137286054,Darwin City,800,premiere,3,2,1
Apartment,@realty - National Head Office Australia,595000,137213670,Darwin City,800,standard,2,2,2
Apartment,Knight Frank (NT) - Darwin,190000,130310230,Darwin City,800,feature,1,1,1
Unit,@realty - National Head Office Australia,235000,136588634,Darwin City,800,standard,1,1,1
Apartment,LJ Hooker Darwin -   ,370000,136546906,Darwin City,800,feature,2,2,0
Apartment,LJ Hooker Darwin -   ,175000,136028534,Darwin City,800,feature,1,1,1
Apartment,Knight Frank (NT) - Darwin,520000,135951846,Darwin City,800,feature,1,1,1
Unit,Darwin Residential and Commercial Real Estate Pty Ltd - CASUARINA,329000,135915590,Darwin City,800,feature,2,2,1
Apartment,First National Real Estate O'Donoghues - Darwin,559000,135722762,Darwin City,800,feature,3,2,2
